ProductID,ProductName,Category,Brand,SupplierID,CostPrice,SellingPrice,StockQuantity,Rating,Warranty,Weight(kg),LaunchDate,Profit,Discount
101971,Philips Backpack,Fashion,Philips,5049,45337,71922.89,85,3.5,3 Years,,2019-07-26,26585.89,20
101727,Havells Laptop,Electronics,Havells,5200,28558,39986.8,464,2.7,No Warranty,3.68,2023-05-05,11428.8,0
100528,Boat Football,Sports,Boat,5296,31723,37637.79,422,4.5,No Warranty,17.94,2022-05-15,5914.79,0
100995,Dell Data Science Book,Books,Dell,5197,10947,14437.7,260,3.9,2 Years,12.15,2022-01-17,3490.7,0
101125,Lenovo Tablet,Mobile,Lenovo,5004,19819,28026.44,368,4.5,3 Years,20.7,2020-04-14,8207.44,25
101660,Sony Tablet,Mobile,Sony,5092,15449,22690.53,375,3.0,6 Months,6.09,2022-04-23,7241.53,25
100129,Apple Keyboard,Electronics,Apple,5159,11923,14744.4,390,4.8,1 Year,0.38,2020-08-09,2821.4,10
100367,Logitech Badminton Racket,Sports,Logitech,5130,24772,37796.95,235,3.0,1 Year,20.38,2025-12-29,13024.95,0
101306,LG Earbuds,Mobile,LG,5051,23926,34264.95,204,4.9,3 Years,2.2,2025-03-16,10338.95,30
100234,LG Dumbbell,Sports,LG,5171,31517,37960.48,464,3.3,No Warranty,6.51,2021-02-17,6443.48,20
101385,Dell Watch,Fashion,Dell,5021,21322,34109.22,226,3.1,6 Months,20.09,2022-01-26,12787.22,10
101780,Boat SQL Book,Books,Boat,5175,4637,5583.75,165,3.7,3 Years,6.28,2023-10-10,946.75,5
101729,Samsung Bookshelf,Furniture,Samsung,5151,40212,57267.62,41,4.1,No Warranty,25.76,2022-08-09,17055.62,0
101224,Lenovo Cricket Bat,Sports,Lenovo,5191,19118,26031.56,104,3.8,1 Year,14.27,2021-05-12,6913.56,30
100553,Samsung Tablet,Mobile,Samsung,5139,26877,39838.96,7,4.9,6 Months,22.32,2021-04-10,12961.96,20
